ts,cs,lat,long,o,v,a,hr,pl,mp,sl,x,y
2024-10-23 15:53:57,52.0,37.35005894,-121.93596172,110.29400000000001,2.286,0.142,0.0,11.353,9.597999999999999,1.138,9554507.348000001,1746672.7329999998
2024-10-23 15:53:58,52.0,37.35006737,-121.93594095,112.391,2.216,-0.10200000000000001,0.0,11.637,9.828999999999999,1.157,9554505.11,1746671.7559999998
2024-10-23 15:53:59,52.0,37.35007751,-121.93592071999998,114.519,2.2359999999999998,0.037,0.0,11.931999999999999,9.559000000000001,1.187,9554502.794,1746670.5890000002
2024-10-23 15:54:00,52.0,37.35008623,-121.93589818000001,116.76400000000001,2.292,0.067,0.0,12.235,9.713,1.2189999999999999,9554500.395,1746669.5760000001
2024-10-23 15:54:01,52.0,37.35008897,-121.93587858000001,118.696,1.859,-0.369,0.0,12.553999999999998,6.2410000000000005,1.256,9554498.656,1746669.241
2024-10-23 15:54:02,52.0,37.350082650000004,-121.93588558000002,120.10799999999999,1.138,-0.884,0.0,12.834999999999999,9.718,1.24,9554499.656,1746669.962
2024-10-23 15:54:03,52.0,37.35007394,-121.93590678000001,122.237,2.166,1.145,0.0,13.162,11.611,1.287,9554501.949,1746670.9710000001
2024-10-23 15:54:04,52.0,37.35006516,-121.93593089999999,124.60900000000001,2.2969999999999997,0.119,0.0,13.508000000000001,10.453,1.351,9554504.476,1746671.9899999998
2024-10-23 15:54:05,52.0,37.35005528,-121.93595554999999,127.078,2.3760000000000003,0.065,0.0,13.865,11.312000000000001,1.5219999999999998,9554507.127,1746673.1350000002
2024-10-23 15:54:06,52.0,37.3500452,-121.9359797,129.498,2.375,0.012,0.0,14.251,10.049,1.607,9554509.748,1746674.303
2024-10-23 15:54:07,52.0,37.35003603,-121.93600242,131.779,2.241,-0.159,0.0,14.619,8.892,1.319,9554512.192,1746675.368
2024-10-23 15:54:08,52.0,37.35002859,-121.93601900000002,133.56400000000002,1.707,-0.48599999999999993,0.0,14.935999999999998,4.462,1.028,9554514.028,1746676.224
2024-10-23 15:54:09,52.0,37.35002484,-121.93602997999999,134.68099999999998,1.092,-0.6799999999999999,0.0,15.084,4.493,0.305,9554515.162,1746676.662
2024-10-23 15:54:10,52.0,37.35002287,-121.93603886999999,135.55,0.9179999999999999,-0.13899999999999998,0.0,15.139000000000001,3.367,0.16899999999999998,9554516.004,1746676.8939999999
2024-10-23 15:54:11,52.0,37.350025370000004,-121.93604166,136.206,0.6719999999999999,-0.27599999999999997,0.0,15.178,2.8129999999999997,0.152,9554516.044999998,1746676.6190000002
